,Date,Value,location,parameter,longitude,latitude,Data_Converted
43,2024-08-20T18:00:00+00:00,5.410416682561238,1552754,pm25,-122.432269,45.592266,2024-08-20 18:00:00+00:00
44,2024-08-20T17:00:00+00:00,3.7958332896232605,1552754,pm25,-122.432269,45.592266,2024-08-20 17:00:00+00:00
45,2024-08-20T16:00:00+00:00,4.043750027815501,1552754,pm25,-122.432269,45.592266,2024-08-20 16:00:00+00:00
46,2024-08-20T15:00:00+00:00,4.449999928474426,1552754,pm25,-122.432269,45.592266,2024-08-20 15:00:00+00:00
47,2024-08-20T14:00:00+00:00,4.637500007947286,1552754,pm25,-122.432269,45.592266,2024-08-20 14:00:00+00:00
48,2024-08-20T13:00:00+00:00,4.72083334128062,1552754,pm25,-122.432269,45.592266,2024-08-20 13:00:00+00:00
49,2024-08-20T12:00:00+00:00,4.635416746139526,1552754,pm25,-122.432269,45.592266,2024-08-20 12:00:00+00:00
50,2024-08-20T11:00:00+00:00,4.737500031789144,1552754,pm25,-122.432269,45.592266,2024-08-20 11:00:00+00:00
51,2024-08-20T10:00:00+00:00,4.516666650772095,1552754,pm25,-122.432269,45.592266,2024-08-20 10:00:00+00:00
52,2024-08-20T09:00:00+00:00,4.520833313465118,1552754,pm25,-122.432269,45.592266,2024-08-20 09:00:00+00:00
53,2024-08-20T08:00:00+00:00,4.0979166229565935,1552754,pm25,-122.432269,45.592266,2024-08-20 08:00:00+00:00
54,2024-08-20T07:00:00+00:00,9.458333174387613,1552754,pm25,-122.432269,45.592266,2024-08-20 07:00:00+00:00
55,2024-08-20T06:00:00+00:00,3.7166666388511658,1552754,pm25,-122.432269,45.592266,2024-08-20 06:00:00+00:00
56,2024-08-20T05:00:00+00:00,3.1979166666666665,1552754,pm25,-122.432269,45.592266,2024-08-20 05:00:00+00:00
57,2024-08-20T04:00:00+00:00,3.287499984105428,1552754,pm25,-122.432269,45.592266,2024-08-20 04:00:00+00:00
58,2024-08-20T03:00:00+00:00,2.9229166507720947,1552754,pm25,-122.432269,45.592266,2024-08-20 03:00:00+00:00
59,2024-08-20T02:00:00+00:00,2.606250007947286,1552754,pm25,-122.432269,45.592266,2024-08-20 02:00:00+00:00
